scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
X4JpgYwAAAAJ,WNcQdzMAAAAJ,Eduardo Martinez-Valdes,"School of Sport, Exercise and Rehabilitation Sciences, University of Birmingham …"
X4JpgYwAAAAJ,92jAdf4AAAAJ,igor cigarroa,"Escuela de kinesiología, Facultad de Salud, UST Los Ángeles Chile"
X4JpgYwAAAAJ,lvdJEy4AAAAJ,Carlos Cruz-Montecinos,Universidad de Chile. Departamento Kinesiología
X4JpgYwAAAAJ,IxhhJ9IAAAAJ,Pedro Delgado Floody,"Departamento de EF, Universidad de La Frontera"
X4JpgYwAAAAJ,hq3kfjUAAAAJ,Braulio Henrique Magnani Branco,UNICESUMAR
X4JpgYwAAAAJ,Qed4xmkAAAAJ,LUIS EDUARDO COFRÉ LIZAMA,"Research Fellow, Sport and Exercise Science, School of Allied Health, Human Services and …"
X4JpgYwAAAAJ,eWXIjwwAAAAJ,Carlos Cristi-Montero,Pontificia Universidad Católica de Valparaiso
X4JpgYwAAAAJ,DjLPCogAAAAJ,Antonio García-Hermoso (ORCID: 0000-0002-1397-7182),"Navarrabiomed, Universidad Pública de Navarra"
X4JpgYwAAAAJ,6FJnI74AAAAJ,Mikel Izquierdo (ORCID: 0000-0002-1506-4272),"Department of Health Sciences, Public University of Navarra (Full Professor)"
X4JpgYwAAAAJ,tmm2jdEAAAAJ,Jason Moran,"School of Sport, Rehabilitation and Exercise Sciences, University of Essex"
X4JpgYwAAAAJ,XR4vl8cAAAAJ,Carlos Celis-Morales,"Institute of Cardiovascular and Medical Science, Glasgow University, UK"
X4JpgYwAAAAJ,dj0hz_YAAAAJ,Alicia Mª Alonso Martínez,Universidad Pública de Navarra
X4JpgYwAAAAJ,TIug_BIAAAAJ,Hermann Zbinden-Foncea,"Profesor de Fisiología Molecular del Ejercicio, Universidad Finis Terrae"
X4JpgYwAAAAJ,nuCbGAQAAAAJ,Fernanda AP  Habechian,Universidad Católica del Maule
X4JpgYwAAAAJ,Z0_7pe0AAAAJ,hong-bo xie,queensland university of technology
X4JpgYwAAAAJ,m2OEYrgAAAAJ,"Rhodri S. Lloyd, PhD, ASCC, CSCS*D","Lecturer in Physiology & Health, Cardiff Metropolitan University"
X4JpgYwAAAAJ,mYCC_5oAAAAJ,Irineu Loturco,Director of Sport Science and Research Leader at Nucleus of High Performance in Sport …
X4JpgYwAAAAJ,pEq8FcgAAAAJ,Mauricio Castro Sepulveda,Pontificia universidad católica de chile
X4JpgYwAAAAJ,DrW-ktYAAAAJ,"David Cristobal Andrade, PhD","Biomedical Department, Facultad of Health Science, Universidad de Antofagasta"
X4JpgYwAAAAJ,olU3U_AAAAAJ,Felipe García-Pinillos,"Department of Physical Education and Sport, University of Granada, Spain"
X4JpgYwAAAAJ,CWvuLhgAAAAJ,Kohei Watanabe,"Professor, School of Health and Sport Sciences, Chukyo University"
X4JpgYwAAAAJ,gXV_JksAAAAJ,Antonio Jesús Berral Aguilar,Universidad Pablo de Olavide
X4JpgYwAAAAJ,dYBHgeMAAAAJ,Dr. Iván Suazo Galdames PhD.,Universidad Autónoma de Chile (ROR 010r9dy59) Chile
wOnfkSYAAAAJ,7_SsWD0AAAAJ,Mauricio Seguel,"Pathobiology Department, Ontario Veterinary College, University of Guelph"
wOnfkSYAAAAJ,JR4YufIAAAAJ,Nicole L. Gottdenker,University of Georgia
wOnfkSYAAAAJ,Y2RA_vMAAAAJ,Humberto González Estay,"Universidad Austral de Chile, Instituto de Ciencias Marinas y Limnológicas"
wOnfkSYAAAAJ,kNhzzGIAAAAJ,J. L. Iriarte,Universidad Austral de Chile
wOnfkSYAAAAJ,vr1VZh8AAAAJ,Sandro L. Bonatto,"Professor of Genetics and Evolutionary Biology, PUCRS, Brazil"
wOnfkSYAAAAJ,LZ3nvnAAAAAJ,Enrique Alberto Crespo,"Investigador Superior del Centro Nacional Patagónico, CONICET,Profesor Titular de Ecología"
wOnfkSYAAAAJ,ARB--7gAAAAJ,Lorena Rebolledo,Instituto Antártico Chileno
wOnfkSYAAAAJ,oq4KeeQAAAAJ,Ricardo Giesecke,Profesor Auxiliar Universidad Austral de Chile
wOnfkSYAAAAJ,rq30FOMAAAAJ,"Villy Christensen, FRSC","Professor, Institute for the Oceans and Fisheries, University of British Columbia"
wOnfkSYAAAAJ,cGpm35oAAAAJ,"Diego J. Perez-Venegas, Msc., Ph.D.","CIGREN, Instituto de Biología, Facultad de Ciencias, Universidad de Valparaíso, Valparaíso, Chile"
wOnfkSYAAAAJ,JtKFXhoAAAAJ,Jose Iriarte,"Professor, Archaeology, University of Exeter"
Zb2h_xAAAAAJ,WboqEP8AAAAJ,Andrew FG Quest,"Professor of Cell and Molecular Biology, University of Chile"
Zb2h_xAAAAAJ,jLe89w4AAAAJ,Thomas Jansson,"Department of Obstetrics & Gynecology,  University of Colorado Anschutz Medical Campus"
Zb2h_xAAAAAJ,-dsgiHoAAAAJ,Theresa Powell,"Professor Pediatrics and Obstetrics, University of Colorado"
Zb2h_xAAAAAJ,xAnpV2sAAAAJ,Sergio  Lavandero,"Profesor-Senador U Chile, Premio Nacional Cs Naturales 2022, Director ACDDiS, Adjunct Prof, UTSW"
Zb2h_xAAAAAJ,XvUFRcgAAAAJ,Roberto Bravo-Sagua,"Instituto de Nutrición y Tecnología de los Alimentos, Universidad de Chile"
Zb2h_xAAAAAJ,Yeoejj8AAAAJ,Jimena Bravo,Georg-Speyer-Haus institute für tumorbiologie und experimentelle therapie
Zb2h_xAAAAAJ,4n42PKoAAAAJ,Valentina Parra,"ACCDiS, Advanced Center for Chronic Diseases. Universidad de Chile."
Zb2h_xAAAAAJ,2qB9B8YAAAAJ,Camila Lopez-Crisosto,"Advanced Center for Chronic Diseases (ACCDIS), Facultad de Ciencias Químicas y Farmacéuticas & Facultad de Medicina, Universid"
Zb2h_xAAAAAJ,cMjAa3oAAAAJ,manue valenzuela-valderrama,"Associare Profesor, Universidad Central de Chle"
Zb2h_xAAAAAJ,Ag55rngAAAAJ,Colin Sibley,University of Manchester
Zb2h_xAAAAAJ,axQ_tCEAAAAJ,Mauricio Henriquez,"Lab. Bronchovascular Dynamics & Lung Damage, ICBM, Fac of Medicine, University of Chile"
Zb2h_xAAAAAJ,essAdqkAAAAJ,Alejandro Corvalan,Pontificia Universidad Catolica de Chile
Zb2h_xAAAAAJ,BC0HVooAAAAJ,Marçal Pastor-Anglada,"Professor of Biochemistry and Molecular Biology, University of Barcelona & CIBER EHD & IR SJD"
Zb2h_xAAAAAJ,utvt5zgAAAAJ,"Kris Genelyn Dimasuay, MS PhD",National Jewish Health
Zb2h_xAAAAAJ,iKdzu9EAAAAJ,Rebeca Caires,"Scientific Instructor, University of Tennessee Health Science Center"
Zb2h_xAAAAAJ,bLo0kh8AAAAJ,Maria Fernanda Gonzalez,Universidad de Chile
Zb2h_xAAAAAJ,4E2Y70EAAAAJ,Delia I Chiarello,Faculty of Medicine and Science
Zb2h_xAAAAAJ,mZJeAMcAAAAJ,Gonzalo Carrasco Aviño,Clínica Las Condes
v_zvgWgAAAAJ,7OUaTBEAAAAJ,Roger D. Sepúlveda,Ecología y Genética Ambiental SPA
v_zvgWgAAAAJ,hZh94aEAAAAJ,Marcelo M. Rivadeneira,"Senior Researcher at Centro de Estudios Avanzados en Zonas Aridas (CEAZA), Coquimbo …"
v_zvgWgAAAAJ,WB_qsXIAAAAJ,Fernando Torres-Perez,Pontificia Universidad Católica de Valparaiso
v_zvgWgAAAAJ,Ajt0dyoAAAAJ,Marcela Vidal Maldonado,"Laboratorio de Ecología y Evolución, Departamento de Ciencias Básicas, Facultad de …"
v_zvgWgAAAAJ,QIHKy1UAAAAJ,Fabio A. Labra R.,"Professor, Facultad de Ciencias, Universidad Santo Tomás, Santiago, Chile"
v_zvgWgAAAAJ,CZG0D0kAAAAJ,Sven Thatje,"University of Southampton, National Oceanography Centre Southampton"
v_zvgWgAAAAJ,fCJZmKwAAAAJ,Elie Poulin,Universidad de Chile
v_zvgWgAAAAJ,lECHx2oAAAAJ,Pedro F. Victoriano,Associate Professor. Universidad de Concepción
v_zvgWgAAAAJ,pszot3gAAAAJ,Guillermo Guzmán,Académico Universidad Arturo Prat
v_zvgWgAAAAJ,081-PZIAAAAJ,Aníbal Pauchard,Universidad de Concepción
v_zvgWgAAAAJ,LUdizE8AAAAJ,Marco A. Méndez,"Profesor Titular, Facultad de Ciencias, Universidad de Chile"
v_zvgWgAAAAJ,Sb2oKiMAAAAJ,R. Eduardo Palma,"Departamento de Ecología, Pontificia Universidad Católica de Chile"
v_zvgWgAAAAJ,m3Q4muoAAAAJ,Edgar Benavides,Yale University
v_zvgWgAAAAJ,v1S3-soAAAAJ,Annia Rodríguez-San Pedro (https://orcid.org/0000-0002-2615-7669),"Associate Professor, Facultad de Ciencias, Universidad Santo Tomás"
v_zvgWgAAAAJ,dKzw_s0AAAAJ,Juan Luis Allendes,Bioecos
v_zvgWgAAAAJ,0h2h9y4AAAAJ,Claudio Gonzalez-Wevar,"Profesor Asociado, Instituto de Ciencias Marinas (ICML), Universidad Austral de Chile …"
v_zvgWgAAAAJ,4Ns7QygAAAAJ,Ernesto Ivan Badano,"Instituto Potosino de Investigación Científica y Tecnológica, AC"
v_zvgWgAAAAJ,hWkdGo0AAAAJ,Nicol Fuentes,Depto. de Botánica. Universidad de Concepcion
v_zvgWgAAAAJ,rbm0YeIAAAAJ,Alfredo Saldaña,"Depto. de Botánica, Universidad de Concepción, Chile."
v_zvgWgAAAAJ,c7DM6fgAAAAJ,Paulina Sánchez González,Instituto de Ecología y Biodiversidad (IEB)
v_zvgWgAAAAJ,ak0ofRMAAAAJ,goetz palfner,Profesor de Micología (Universidad de Concepción)
v_zvgWgAAAAJ,hrRaIRwAAAAJ,Darko D. Cotoras,California Academy of Sciences
v_zvgWgAAAAJ,auyTL1YAAAAJ,Patricio A. Camus,"Departmento de Ecologia, Facultad de Ciencias, Universidad Catolica de la Santisima …"
v_zvgWgAAAAJ,IzWOnscAAAAJ,Daniel Zamorano Castillo,"Zoology department, University of Otago"
v_zvgWgAAAAJ,U2Dkd_kAAAAJ,Nelson A. Lagos,Profesor Titular UST
v_zvgWgAAAAJ,fkylJB0AAAAJ,Helen Diaz Paez,"Profesor Asociado, Universidad de Concepción"
v_zvgWgAAAAJ,94JOMYcAAAAJ,Sergio A Estay,Universidad Austral de Chile
2B6_y20AAAAJ,BCSv68EAAAAJ,Joaquin Gairín Sallán,Universitat Autónoma de Barcelona
2B6_y20AAAAJ,IukXT_gAAAAJ,Leopoldo Lopez,Universidad de Talca
2B6_y20AAAAJ,6UaHQvYAAAAJ,Oswaldo Leyva Cordero,"Universidad Autónoma de Nuevo León, Facultad de Ciencias Políticas y Relaciones Internacionales"
2B6_y20AAAAJ,-X5hg4YAAAAJ,Abraham Alfredo Hernández Paz,"Director de la Facultad de Ciencias Políticas y Relaciones Internacionales de la Universidad Autónoma de Nuevo León, Miembro del Sistema Nacional de Investigadores Nivel I, Miembro del Cuerpo Académico Gestión y Política Educativa"
2B6_y20AAAAJ,Zm6JHCsAAAAJ,Rodolfo Schmal,"Ingeniero Civil Industrial, Master en Informática; académico de la Universidad de Talca"
2B6_y20AAAAJ,h6upOf0AAAAJ,Óscar Arias-Rojas,Magíster Economía Aplicada (DII-Universidad de Chile)
2B6_y20AAAAJ,GaoxiDcAAAAJ,Tamara Márquez,"Professor, Universidad Santo Tomás, Talca, Chile"
2B6_y20AAAAJ,ATFF7ikAAAAJ,Francisco Ganga Contreras,Universidad de Tarapacá
2B6_y20AAAAJ,3AwIgy0AAAAJ,José Tejada Fernández,Universidad Autónoma de Barcelona
2B6_y20AAAAJ,u9nGDIYAAAAJ,Diego Castro,UAB
2B6_y20AAAAJ,C5rbflwAAAAJ,NIBALDO BENAVIDES MORENO,Universidad de Talca
