scholar_id_autor_gs,scholar_id_gs_coauthor,nombre_coauthor,cargo
4Tv22ZQAAAAJ,s2b8RbYAAAAJ,David C. Podgorski,"Pontchartrain Institute for Environmental Sciences, Department of Chemistry, Shea Penland …"
4Tv22ZQAAAAJ,eC1sYtcAAAAJ,Phoebe Zito,University of New Orleans
4Tv22ZQAAAAJ,7TPjhNoAAAAJ,Marijn Bauters,Ghent University
4Tv22ZQAAAAJ,sVpzjtsAAAAJ,Robert GM Spencer,Florida State University
4Tv22ZQAAAAJ,xYCKme4AAAAJ,Travis W. Drake,ETH Zürich
4Tv22ZQAAAAJ,34uXdUUAAAAJ,Jeroen Schreel,ILVO
4Tv22ZQAAAAJ,qItzNdIAAAAJ,Dirk Verschuren,"Professor of Paleoecology & Climate Change, Ghent University"
4Tv22ZQAAAAJ,-ix0ZgUAAAAJ,Cody Millar,"Research Scientist, Laboratory Manager: MOST facility, University of Saskatchewan."
4Tv22ZQAAAAJ,qRvxK2UAAAAJ,Magali F. Nehemy,Trent University
4Tv22ZQAAAAJ,ZMU2FOEAAAAJ,Geoff Koehler,Environment Canada
4Tv22ZQAAAAJ,kN8-6A8AAAAJ,Jose Luis Arumi,Universidad de Concepcion
4Tv22ZQAAAAJ,7muzax4AAAAJ,Santiago Yépez,Universidad de Concepción
4Tv22ZQAAAAJ,XNYtQyUAAAAJ,Juan J. Armesto,"Professor, Pontificia Universidad Católica de Chile"
4Tv22ZQAAAAJ,p1yJJi0AAAAJ,Pablo Garcia-Chevesich,Colorado School of Mines/U. of Arizona/Unesco
4Tv22ZQAAAAJ,RG9y4EQAAAAJ,Mauricio Galleguillos,"Universidad Adolfo Ibañez, Facultad de Ingeniería y Ciencias"
4Tv22ZQAAAAJ,2mekf14AAAAJ,Richard P Silberstein,Assoc. Prof. Edith Cowan University/ Senior Research Fellow University of WA/Principal …
4Tv22ZQAAAAJ,m84IXWEAAAAJ,Francisco Balocchi,Bioforest SA
4Tv22ZQAAAAJ,P0YhYL0AAAAJ,Diego Rivera,Universidad del Desarrollo
4Tv22ZQAAAAJ,eZnZ1uAAAAAJ,Ph.D. Pilar Andrea Barría,"Universidad de Los Lagos, Universidad de Chile"
4Tv22ZQAAAAJ,lv-6LuoAAAAJ,Alejandra Stehr,Profesor Asociado. Facultad de Ingeniería. Universidad de Concepción
4Tv22ZQAAAAJ,Qifw1fwAAAAJ,Christian Little,Instituto Forestal
4Tv22ZQAAAAJ,8XVd-pgAAAAJ,Daniel Neary,USDA Forest Service
4Tv22ZQAAAAJ,lHl-SlEAAAAJ,Cristian Frene C.,Instituo de Ecología y Biodiversidad - Chile
4Tv22ZQAAAAJ,BcUlATAAAAAJ,William HJ Strosnider,"Director, University of South Carolina Baruch Marine Field Laboratory"
4Tv22ZQAAAAJ,KXUmHnMAAAAJ,"Christian Wolkersdorfer, MASSAf",SARChI Chair for mine water management
4Tv22ZQAAAAJ,vJuphZkAAAAJ,Robert Nairn,"Center for Restoration of Ecosystems and Watersheds, Civil Engineering and Environmental …"
4Tv22ZQAAAAJ,VgEb1iIAAAAJ,Adrià Barbeta,"BEECA, Universitat de Barcelona"
4Tv22ZQAAAAJ,_JjX-6oAAAAJ,Marco D. Visser,Princeton University  - Department of Ecology and Evolutionary Biology
4Tv22ZQAAAAJ,Mw84b5sAAAAJ,Matteo Detto,"Ecology and evolutionary biology, Princeton University; Smithsonian Tropical Research …"
4Tv22ZQAAAAJ,HilwOKgAAAAJ,Félicien Meunier,"Computational and Applied Vegetation Ecology lab, Ghent University"
4Tv22ZQAAAAJ,DCHLYpgAAAAJ,Fanny Meunier,"Directeur de Recherche, CNRS"
1DXN06AAAAAJ,b3y2fQUAAAAJ,Ricardo Rozzi,"Professor, Dep. of Philosophy, University of North Texas (USA) & Inst. of Ecology and Biodiversity"
1DXN06AAAAAJ,_oDVeBYAAAAJ,Javier Rendoll Cárcamo,Investigador Universidad de Magallanes
