organization,scholar_id,affiliation,id_institucion,email_domain,citedby,interests
4727335469935944704,LQU8XfEAAAAJ,"Professor / Profesor Titular, Universidad de Tarapacá",uta,@academicos.uta.cl,1030,"Geography, Environmental Geography, Political Ecology, Cultural Ecology"
4727335469935944704,k7EIK5UAAAAJ,"Universidad de Tarapacá, Chile",uta,@academicos.uta.cl,942,"construcción de teoría, diseños mixtos de investigación, microsociología"
4727335469935944704,HPpN_m8AAAAJ,Full Professor at Universidad de Tarapacá; Adjunct Graduate Faculty Member at Trent University,uta,@uta.cl,842,"Andean archaeology, pre-Hispanic economy, animal consumption, visual images, production/use of rock art and geoglyphs"
4727335469935944704,tT_v9m8AAAAJ,"Associate Professor, Universidad de Tarapacá",uta,@academicos.uta.cl,814,"Climatology, Meteorology"
4727335469935944704,GmwPnicAAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,791,"Social Psychology, Educational Psychology, Organizational Psychology"
4727335469935944704,nlEleXoAAAAJ,Universidad de Tarapacá,uta,@uta.cl,762,"medical physics, física médica, protección radiologica, radiological protection"
4727335469935944704,L__H0V4AAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,747,"High order finite volumes, unstructured meshes, multiphase flows"
0,NXxMAukAAAAJ,BioNaNO3Lab,uta,@uta.cl,756,"Arqueometria, Raman, SERS, Nanoestructuras"
4727335469935944704,_mR2Ky8AAAAJ,Universidad de Tarapacá,uta,@academicos.uta.cl,759,
4727335469935944704,95XWzKgAAAAJ,"Universidad de Tarapacá, Dpto. de Ciencias Sociales.",uta,@academicos.uta.cl,702,"Relaciones Internacionales, Paradiplomacia, Paradiplomacy, Fronteras, Diplomacy"
4727335469935944704,658IkykAAAAJ,Universidad de Tarapacá,uta,@uta.cl,700,"Análisis, Ecuaciones Diferenciales"
4727335469935944704,iiBXp3EAAAAJ,Universidad de Tarapaca,uta,@uta.cl,592,"agronomia, agricultura, cultivo sin suelos, fertirriego, fertilizacion"
